id,time,Concentration,Virus,DV,LFAC,BETA,Conc,INH,V,evid,duration_Depot,amt,cmt,rate,duration,ss,ii,route,tad,dosenum,Depot,Central,Periph,UNINFECTED,ACTIVEIC,LATENT,LLIC,AUC,Ka,CL,Vc,Q,Vp,RR0,DELTA,LAMBDA,IC50,DU,DL,AL,POVC,DLL,PLLC,QLL,QA,QL,η_1,η_2,η_3,η_4,η_5,η_6,η_7,η_8,η_9,Dose
1,0.0,,,,,,,,,1,0.12080093282482404,240.0,Depot,-2.0,0.0,0,0.0,NullRoute,0.0,1,0.0,0.0,0.0,13.414696813046048,0.5310008868796617,0.1411615965297804,0.036994073573321754,0.0,7.446325366165721,67.38896709778163,74.20173039604614,18.04511189810404,4.24,5.5962119120655185,0.6853554111271523,0.4504289166114938,99.53136222662438,0.006,0.04,0.036,35.4,0.01,0.374,0.001,0.97,0.029,-0.20139931533051592,0.0698609685303395,-0.02614353159330252,-0.2245555535532283,-0.27384505450193203,0.5438474664412462,-0.0013234811208714403,-0.27411804385430655,0.024165847241363714,240 mg every day
1,0.0,-2.155377723958543,4.575448047478876,3.9607790485602905,0.9837368421052631,0.0014659975433816764,0.0,0.0,18.811267179056447,0,,0.0,,0.0,0.0,0,0.0,,0.0,1,0.0,0.0,0.0,13.414696813046048,0.5310008868796617,0.1411615965297804,0.036994073573321754,0.0,7.446325366165721,67.38896709778163,74.20173039604614,18.04511189810404,4.24,5.5962119120655185,0.6853554111271523,0.4504289166114938,99.53136222662438,0.006,0.04,0.036,35.4,0.01,0.374,0.001,0.97,0.029,-0.20139931533051592,0.0698609685303395,-0.02614353159330252,-0.2245555535532283,-0.27384505450193203,0.5438474664412462,-0.0013234811208714403,-0.27411804385430655,0.024165847241363714,240 mg every day
1,0.04,262.43160175620363,4.572219274118694,4.782489864679247,0.9837368421052631,0.0014659975433816764,142.54527982334523,0.5888435935670362,18.671932919083588,0,,0.0,,0.0,0.0,0,0.0,,0.04,1,68.72696759019155,10.577106422680819,0.0337949838885814,13.418787497756234,0.5270649340511305,0.14104306598018473,0.03698998308440582,1.9545634177294895,7.446325366165721,67.38896709778163,74.20173039604614,18.04511189810404,4.24,5.5962119120655185,0.6853554111271523,0.4504289166114938,99.53136222662438,0.006,0.04,0.036,35.4,0.01,0.374,0.001,0.97,0.029,-0.20139931533051592,0.0698609685303395,-0.02614353159330252,-0.2245555535532283,-0.27384505450193203,0.5438474664412462,-0.0013234811208714403,-0.27411804385430655,0.024165847241363714,240 mg every day
1,0.08,384.85760315061873,4.563542457194775,4.734201809415151,0.9837368421052631,0.0014659975433816764,511.82582529313805,0.8371960545186083,18.30258622513584,0,,0.0,,0.0,0.0,0,0.0,,0.08,1,119.75059560350289,37.97836189813525,0.23875903699108145,13.42979214920851,0.5166315278713498,0.1407246846761763,0.03697897991994336,14.41561603368791,7.446325366165721,67.38896709778163,74.20173039604614,18.04511189810404,4.24,5.5962119120655185,0.6853554111271523,0.4504289166114938,99.53136222662438,0.006,0.04,0.036,35.4,0.01,0.374,0.001,0.97,0.029,-0.20139931533051592,0.0698609685303395,-0.02614353159330252,-0.2245555535532283,-0.27384505450193203,0.5438474664412462,-0.0013234811208714403,-0.27411804385430655,0.024165847241363714,240 mg every day
1,0.12,653.0508549285527,4.55321522047361,4.160918756039901,0.9837368421052631,0.0014659975433816764,1038.149944214586,0.9125138457816722,17.872496669552497,0,,0.0,,0.0,0.0,0,0.0,,0.12,1,157.63105206645395,77.03252227128105,0.7135999266850365,13.442887170548083,0.5044822437093563,0.14034667412511795,0.036965888345675074,44.98630689809434,7.446325366165721,67.38896709778163,74.20173039604614,18.04511189810404,4.24,5.5962119120655185,0.6853554111271523,0.4504289166114938,99.53136222662438,0.006,0.04,0.036,35.4,0.01,0.374,0.001,0.97,0.029,-0.20139931533051592,0.0698609685303395,-0.02614353159330252,-0.2245555535532283,-0.27384505450193203,0.5438474664412462,-0.0013234811208714403,-0.27411804385430655,0.024165847241363714,240 mg every day
1,0.16,1166.8815265604683,4.5423390761737785,4.346031945968444,0.9837368421052631,0.0014659975433816764,1533.3742852040848,0.9390464706988847,17.430469309906012,0,,0.0,,0.0,0.0,0,0.0,,0.16,1,118.2118308749375,113.77902530694348,1.470149676865313,13.45667578589484,0.4919957407488831,0.13994963865610768,0.0369521053357027,97.03360094190947,7.446325366165721,67.38896709778163,74.20173039604614,18.04511189810404,4.24,5.5962119120655185,0.6853554111271523,0.4504289166114938,99.53136222662438,0.006,0.04,0.036,35.4,0.01,0.374,0.001,0.97,0.029,-0.20139931533051592,0.0698609685303395,-0.02614353159330252,-0.2245555535532283,-0.27384505450193203,0.5438474664412462,-0.0013234811208714403,-0.27411804385430655,0.024165847241363714,240 mg every day
1,0.2,1862.972120982183,4.531270969161726,4.573684546142803,0.9837368421052631,0.0014659975433816764,1869.2699965973975,0.9494457062514041,16.991862047726205,0,,0.0,,0.0,0.0,0,0.0,,0.2,1,87.7616749948069,138.7030683249382,2.37983920375309,13.470712898017174,0.47960585331303696,0.13954651771798476,0.036938076055339636,165.53774240693087,7.446325366165721,67.38896709778163,74.20173039604614,18.04511189810404,4.24,5.5962119120655185,0.6853554111271523,0.4504289166114938,99.53136222662438,0.006,0.04,0.036,35.4,0.01,0.374,0.001,0.97,0.029,-0.20139931533051592,0.0698609685303395,-0.02614353159330252,-0.2245555535532283,-0.27384505450193203,0.5438474664412462,-0.0013234811208714403,-0.27411804385430655,0.024165847241363714,240 mg every day
1,0.24,2284.788109623862,4.52012132905016,4.512465871384045,0.9837368421052631,0.0014659975433816764,2088.9545786999547,0.9545204470518627,16.561182133015194,0,,0.0,,0.0,0.0,0,0.0,,0.24,1,65.1552123808392,155.00404445828022,3.3283760423541247,13.484862319391294,0.46743990340911407,0.13914127095213275,0.03692393671806858,245.03071985903648,7.446325366165721,67.38896709778163,74.20173039604614,18.04511189810404,4.24,5.5962119120655185,0.6853554111271523,0.4504289166114938,99.53136222662438,0.006,0.04,0.036,35.4,0.01,0.374,0.001,0.97,0.029,-0.20139931533051592,0.0698609685303395,-0.02614353159330252,-0.2245555535532283,-0.27384505450193203,0.5438474664412462,-0.0013234811208714403,-0.27411804385430655,0.024165847241363714,240 mg every day
1,0.28,1891.8605717253222,4.508932835807598,4.686925267698579,0.9837368421052631,0.0014659975433816764,2224.2454696914947,0.9571682784424406,16.13997434804146,0,,0.0,,0.0,0.0,0,0.0,,0.28,1,48.37162717465311,165.04286267667533,4.243914896676575,13.499072000101554,0.4555415284042665,0.13873541109258788,0.03690973938616492,331.5319437909935,7.446325366165721,67.38896709778163,74.20173039604614,18.04511189810404,4.24,5.5962119120655185,0.6853554111271523,0.4504289166114938,99.53136222662438,0.006,0.04,0.036,35.4,0.01,0.374,0.001,0.97,0.029,-0.20139931533051592,0.0698609685303395,-0.02614353159330252,-0.2245555535532283,-0.27384505450193203,0.5438474664412462,-0.0013234811208714403,-0.27411804385430655,0.024165847241363714,240 mg every day
1,0.5,2406.3706446827646,4.447326970072063,4.165126781374242,0.9837368421052631,0.0014659975433816764,2244.9139835466626,0.9575458807747147,14.005447000575032,0,,0.0,,0.0,0.0,0,0.0,,0.5,1,9.399755113743526,166.57650216944344,7.588421033456024,13.577570013701852,0.3952449738897033,0.13651341572171288,0.03683134994527891,837.4563984853639,7.446325366165721,67.38896709778163,74.20173039604614,18.04511189810404,4.24,5.5962119120655185,0.6853554111271523,0.4504289166114938,99.53136222662438,0.006,0.04,0.036,35.4,0.01,0.374,0.001,0.97,0.029,-0.20139931533051592,0.0698609685303395,-0.02614353159330252,-0.2245555535532283,-0.27384505450193203,0.5438474664412462,-0.0013234811208714403,-0.27411804385430655,0.024165847241363714,240 mg every day
